county,lockdown,countyfips,pop,pct_under5,pct_5to9,pct_under9,num_famlies,avg_fam_size,num_single_dad,num_single_mom,num_single_parent,pct_single_parent,pct_hs_plus,pct_domestic,pct_white,pct_black,pct_latin,pct_asian,kids_in_poverty,active_cases,pct_active
"Walton County, Georgia",0,13297,93503,6.5,6.5,13,18938,3.28,927,7927,8854,46.75256099,87.4,93,47.1,49.9,7.7,2.2,20,152,0.162561629
"Whitfield County, Georgia",0,13313,104062,6.6,7,13.6,18201,3.5,2066,7065,9131,50.16757321,85.1,90,47.5,50.6,10,1.7,20.1,167,0.160481252
"Alamance County, North Carolina",1,37001,166436,5.7,6.4,12.1,9283,3.18,336,1745,2081,22.41732199,92.8,93.5,84.9,11.6,6.8,1.7,20.5,181,0.108750511
"Brunswick County, North Carolina",1,37019,136744,4.1,3.7,7.8,5389,2.87,646,1983,2629,48.78456114,83.7,96.8,86.1,11.4,4.6,-1,12.6,49,0.035833382
"Buncombe County, North Carolina",1,37021,259103,5,4.9,9.9,7427,2.98,178,1592,1770,23.83196445,81.3,93.7,92.2,4.4,10.8,-1,14.6,104,0.040138478
"Burke County, North Carolina",1,37023,90382,4.6,5.6,10.2,39231,2.98,3376,13057,16433,41.88779282,88.3,90,67.4,28.4,13,2.5,15.9,149,0.164855834
"Cabarrus County, North Carolina",1,37025,211342,6.4,6.6,13,6434,3.33,366,1464,1830,28.44264843,79.5,96.3,93.2,5.8,6.8,0.3,13.5,343,0.162296183
"Caldwell County, North Carolina",1,37027,82029,5.6,6.1,11.7,10144,3.09,558,1546,2104,20.74132492,91,92,92.9,4.8,10.4,1.5,22.4,68,0.082897512
"Carteret County, North Carolina",1,37031,69524,4.6,4.2,8.8,12405,2.89,1413,4256,5669,45.69931479,77.3,95.6,28.8,25.1,9,0.6,4.7,32,0.046027271
"Catawba County, North Carolina",1,37035,158652,5.5,5.5,11,8924,2.95,1307,2054,3361,37.66248319,88.2,94.3,53.9,41.6,7.1,0.9,21.9,90,0.056727933
"Chatham County, North Carolina",1,37037,73139,5.1,5.3,10.4,25356,3,1496,5349,6845,26.9955829,91.9,90.7,73.6,20.7,10.8,4.1,13.3,457,0.624837638
"Cleveland County, North Carolina",1,37045,97645,5.1,6.4,11.5,7052,3.35,495,3028,3523,49.95745888,80,95.1,52.5,42.6,10.8,1,31.4,49,0.050181781
"Craven County, North Carolina",1,37049,102912,6,7.7,13.7,9095,2.97,738,1801,2539,27.9164376,89.1,94.6,92.6,6.7,7.2,-1,20.8,66,0.064132463
"Cumberland County, North Carolina",1,37051,332330,7.4,6.5,13.9,29930,3.19,2882,10277,13159,43.96592048,89.9,84.4,55.1,37.4,13.7,5,23,414,0.124574971
"Davidson County, North Carolina",1,37057,166614,5.5,6,11.5,8349,2.86,464,3094,3558,42.61588214,84,96.7,73.8,22.2,3.7,1.1,27.5,232,0.139244001
"Durham County, North Carolina",1,37063,316739,6.5,5.5,12,14570,3.04,764,4055,4819,33.07481126,85.5,95,79.1,17.1,9.2,1.2,18.4,895,0.282567035
"Forsyth County, North Carolina",1,37067,379099,6,5.9,11.9,24995,3.17,1340,5108,6448,25.79715943,87.6,90.5,78.8,17.5,14,0.6,27,490,0.129253836
"Franklin County, North Carolina",1,37069,67560,5.6,4.6,10.2,14471,2.9,1459,3322,4781,33.03849077,87.1,90.5,72.6,23.4,13,1.3,20.8,97,0.143576081
"Gaston County, North Carolina",1,37071,222846,5.9,6.7,12.6,15982,3.14,2031,4167,6198,38.78112877,88,92.1,71.1,20.7,12.9,1.7,18,190,0.085260673
"Guilford County, North Carolina",1,37081,533670,5.9,5.8,11.7,6027,3.02,427,1451,1878,31.15978099,90.7,95.8,93.3,7.1,4.3,1.6,24.2,639,0.119736916
"Harnett County, North Carolina",1,37085,134214,7.3,7.5,14.8,35762,3.4,2658,12168,14826,41.4574129,91.1,88.5,54.4,41,11.9,2.6,19.7,218,0.162427169
"Henderson County, North Carolina",1,37089,116748,4.1,5.9,10,121051,2.9,9169,30282,39451,32.59039578,90.1,83,54.8,33.6,13.6,6.2,7.3,230,0.197005516
"Iredell County, North Carolina",1,37097,178435,5.6,5.8,11.4,6556,2.98,665,1228,1893,28.87431361,90.5,89.7,81.9,13.4,12.3,1.7,13.7,158,0.08854765
"Johnston County, North Carolina",1,37101,202675,6.4,6.9,13.3,15179,3.39,967,2777,3744,24.6656565,93.1,84.4,76.9,12.6,8.6,7.8,17.3,201,0.099173554
"Lincoln County, North Carolina",1,37109,83770,4.7,4.5,9.2,6301,2.8,1109,1709,2818,44.72305983,86.5,94.5,68.4,27.1,8.5,0.7,14.3,44,0.05252477
"Mecklenburg County, North Carolina",1,37119,1093901,6.6,6.7,13.3,21466,3.27,2327,4779,7106,33.10351253,85.3,94.3,78.8,18.6,7.3,1.6,17.7,2220,0.202943411
"Moore County, North Carolina",1,37125,98682,5.1,6.1,11.2,24204,3.01,1305,6685,7990,33.01107255,90.4,93.8,80.5,17.8,12.8,2,9.6,152,0.154030117
"Nash County, North Carolina",1,37127,94016,5.1,6.5,11.6,7809,2.98,575,1281,1856,23.76744782,92.6,95,86.8,11.5,4.9,0.4,16.2,134,0.142528931
"New Hanover County, North Carolina",1,37129,232274,4.2,5.5,9.7,20620,3,1752,5474,7226,35.04364694,93.9,93.8,82.9,15,5.6,1.6,20.3,114,0.049079966
"Onslow County, North Carolina",1,37133,197683,8.6,7.1,15.7,17750,3.12,1840,4692,6532,36.8,87.2,92.1,82,9.9,9.9,4.1,21.9,61,0.030857484
"Orange County, North Carolina",1,37135,146027,4.5,4.9,9.4,31540,3.06,1851,4395,6246,19.80342422,90.2,88.6,83.1,12.9,11.4,3.3,9.4,225,0.154081095
"Pitt County, North Carolina",1,37147,179914,6,5.4,11.4,22373,3.19,1382,4275,5657,25.28494167,88.9,91.8,85.4,11,7.8,2.6,28.6,180,0.100047801
"Randolph County, North Carolina",1,37151,143351,5.8,5.7,11.5,17403,3.06,1761,6642,8403,48.28477849,87.6,94.6,59.2,36.3,6.3,2.1,20.6,383,0.267176371
"Robeson County, North Carolina",1,37155,131831,6.7,7.1,13.8,9211,3.47,455,3376,3831,41.59157529,81.1,94.8,76.2,20.3,6.2,0.4,34.4,449,0.34058757
"Rockingham County, North Carolina",1,37157,90690,3.7,5.8,9.5,11175,2.92,1026,3077,4103,36.71588367,89.1,94.2,72.9,23.2,7.4,2.3,29.2,41,0.045208954
"Rowan County, North Carolina",1,37159,141262,4.6,6.3,10.9,18088,3.1,1842,5083,6925,38.28505086,83.4,93.9,86.7,10.2,7.3,1.7,28.5,471,0.333423001
"Rutherford County, North Carolina",1,37161,66826,5.2,5.6,10.8,14673,2.97,1121,3863,4984,33.96715055,83.1,92.1,87.2,7,11.7,1.3,31.8,147,0.219974262
"Surry County, North Carolina",1,3717,71948,4.7,6,10.7,8786,3.07,621,1721,2342,26.65604371,80.6,94.9,87.4,7.4,6.2,3.6,24.3,46,0.063935064
"Union County, North Carolina",1,37179,235908,5.6,6.7,12.3,8675,3.41,581,2037,2618,30.17867435,80.6,96.8,91.1,6.5,5.7,0.6,7.4,296,0.125472642
