county,NC,countyfips,pop,pct_under5,pct_5to9,pct_under9,num_famlies,avg_fam_size,num_single_dad,num_single_mom,num_single_parent,pct_single_parent,pct_hs_plus,pct_domestic,pct_white,pct_black,pct_latin,pct_asian,kids_in_poverty,active_cases,pct_active
"Heard County, Georgia",0,13149,11677,5.5,6.3,11.8,3177,3.07,197,639,836,26.31413283,79.3,9.8,89.7,10.8,2.7,0.6,20.2,9,
"Henry County, Georgia",0,13151,221307,5.8,7.3,13.1,57307,3.42,3698,12933,16631,29.0208875,90.4,28.3,51.9,44.7,6.7,4.4,15.1,453,
"Houston County, Georgia",0,13153,151682,6.8,7.2,14,40223,3.14,2682,8648,11330,28.1679636,90.9,27.3,64.5,32.6,6.6,3.9,22.2,202,
"Irwin County, Georgia",0,13155,9268,4.5,6.7,11.2,2070,3.64,102,461,563,27.19806763,81.6,14.3,69.5,30.8,1.5,0.4,40,14,
"Jackson County, Georgia",0,13157,65755,6.5,7.5,14,16840,3.38,953,2675,3628,21.54394299,83.7,21,89.8,7.9,7.4,2.4,12.6,76,
"Jasper County, Georgia",0,13159,13784,5.7,7.6,13.3,3734,3.13,311,615,926,24.79914301,78.6,10.8,76.3,21.6,3.9,0.4,20.5,20,
"Jeff Davis County, Georgia",0,13161,14991,6.9,7.2,14.1,3906,3.33,301,808,1109,28.3922171,77.7,10,78.2,17,11.7,0.3,29.6,13,
"Jefferson County, Georgia",0,13163,15772,6.5,6.7,13.2,3575,3.56,197,1065,1262,35.3006993,75.1,11,44,54.2,3.7,0.2,42.5,13,
"Jenkins County, Georgia",0,13165,8827,7,9,16,2093,3.34,38,549,587,28.04586718,79.3,9.3,61.6,34.1,8.5,1.5,46,15,
"Johnson County, Georgia",0,13167,9730,5.5,6.1,11.6,2282,3.49,198,534,732,32.07712533,77.2,10.4,66.3,34.8,2.4,0.2,34.2,37,
"Jones County, Georgia",0,13169,28548,5.2,7.8,13,7723,3.17,452,1549,2001,25.90962061,87.4,20.1,73.9,25.8,1.6,0.8,21.7,27,
"Lamar County, Georgia",0,13171,18513,5.5,4.7,10.2,3844,3.67,219,745,964,25.0780437,86.7,17.1,69,31.7,2.4,0.8,26,34,
"Lanier County, Georgia",0,13173,10366,6.9,6.4,13.3,2571,3.37,191,486,677,26.33216647,79.4,16.4,74.2,24.7,5.5,0.3,25,7,
"Laurens County, Georgia",0,13175,47418,6.7,7.5,14.2,11374,3.35,910,2915,3825,33.62933005,85.1,15.6,59.7,37.7,2.6,1.2,37.1,53,
"Lee County, Georgia",0,13177,29348,6.1,8.1,14.2,8044,3.12,399,1370,1769,21.99154649,90.6,25.6,75.6,21.4,2.9,3.5,21.8,288,
"Liberty County, Georgia",0,13179,62108,10.1,7.5,17.6,16618,3.05,833,4519,5352,32.20604164,90.9,18.3,51.2,45.4,12.6,3.4,22.1,35,
"Lincoln County, Georgia",0,13181,7799,4.9,5.3,10.2,2111,2.87,159,463,622,29.46470867,82.4,13.5,67.5,31.8,1.7,0.4,34.9,10,
"Long County, Georgia",0,13183,18156,7.8,9.7,17.5,4090,3.7,226,972,1198,29.29095355,85.2,15.5,68.3,26.5,11.3,4.2,25.2,4,
"Lowndes County, Georgia",0,13185,114582,7.1,7.1,14.2,25370,3.41,1383,6317,7700,30.35080804,85.1,25.6,59.5,37.5,5.5,2.5,32,135,
"Lumpkin County, Georgia",0,13187,31951,4.3,5.6,9.9,7710,3.04,735,1228,1963,25.46044099,83.7,26.2,95.5,2.4,4.8,0.8,15.5,31,
"McDuffie County, Georgia",0,13189,21498,6.8,7.3,14.1,5605,3.18,323,1692,2015,35.9500446,82.2,13.7,56.2,41.9,3,0.6,41.9,40,
"McIntosh County, Georgia",0,13191,14120,4.4,3.8,8.2,4221,2.68,276,869,1145,27.12627339,86.3,15.6,63.1,34.8,1,2,35.5,4,
"Macon County, Georgia",0,13193,13480,5.1,5.7,10.8,3019,3.16,308,928,1236,40.94070884,72.8,8.6,36.1,61.6,4.2,0.5,39.4,70,
"Madison County, Georgia",0,13195,28900,5.8,7.1,12.9,8140,3.09,748,1268,2016,24.76658477,83.3,18,86.7,9.6,5.2,1.8,24.7,21,
"Marion County, Georgia",0,13197,8484,4.8,7.4,12.2,2318,2.96,199,481,680,29.33563417,76.9,13.1,63.6,31.3,7.1,1.1,31.2,39,
"Meriwether County, Georgia",0,13199,21113,5.9,5.6,11.5,5542,3.14,280,1624,1904,34.35582822,79.1,11.5,59.1,40.3,2.1,0.8,27.5,49,
"Miller County, Georgia",0,13201,5836,5.6,6.7,12.3,1595,2.96,44,356,400,25.07836991,82.3,12.3,68.6,30.8,0.6,0,35.2,29,
"Mitchell County, Georgia",0,13205,22432,6,6.3,12.3,5363,3.11,306,1771,2077,38.7283237,74.7,11.1,51.6,47.9,4.5,1.3,33.9,265,
"Monroe County, Georgia",0,13207,27010,5.2,4.5,9.7,6498,3.31,332,1082,1414,21.76054171,85,26.3,74.3,23.8,2.3,1.1,11.7,21,
"Montgomery County, Georgia",0,13209,9036,5.3,5.2,10.5,2108,3.33,176,421,597,28.32068311,81.7,14.1,68.8,26.7,6.5,0.4,27.6,2,
"Morgan County, Georgia",0,13211,18235,5.5,6.4,11.9,5057,3.14,368,836,1204,23.80858216,86.5,20.8,75.4,24.2,3.2,0,12.4,25,
"Murray County, Georgia",0,13213,39557,6.2,7.6,13.8,10513,3.19,715,1665,2380,22.63863788,69.3,9.4,97.6,1.3,14.8,0.5,23.9,25,
"Muscogee County, Georgia",0,13215,196670,7.3,7,14.3,45097,3.36,3671,13638,17309,38.38171054,87.3,26.2,47.4,48.5,7.6,3.8,30.3,279,
"Newton County, Georgia",0,13217,106497,6.5,7.6,14.1,26098,3.44,1715,6669,8384,32.12506705,85.8,19.6,52.9,45.7,5.4,1.4,25.6,166,
"Oconee County, Georgia",0,13219,37017,5.4,7.5,12.9,10503,3.21,478,1289,1767,16.82376464,94.5,51.1,90,6.3,4.9,4.5,9,57,
"Oglethorpe County, Georgia",0,13221,14784,5.3,6.4,11.7,3878,3.17,240,693,933,24.05879319,79.4,16.9,80,18.7,4.4,0.4,26.1,45,
"Paulding County, Georgia",0,13223,155840,6.4,7.4,13.8,40722,3.36,3055,7040,10095,24.79003978,90.1,24.1,77.9,20.4,6.1,1.8,13.2,159,
"Peach County, Georgia",0,13225,26966,5.3,6.4,11.7,6471,3.12,579,2066,2645,40.87467161,84,19.4,49.9,45.1,7.5,1.2,27.9,37,
"Pickens County, Georgia",0,13227,30832,4.7,5.7,10.4,8820,2.96,421,973,1394,15.80498866,84.9,23.7,97,1.6,3.1,0.9,11.2,19,
"Pierce County, Georgia",0,13229,19164,6.3,7.4,13.7,5404,3.07,435,1420,1855,34.32642487,83.7,11.9,86.9,10.5,5,0,31.8,52,
"Pike County, Georgia",0,13231,18082,4.9,5.5,10.4,4490,3.48,358,489,847,18.86414254,87,15.9,89.2,10.5,1.5,0.7,15.3,37,
"Polk County, Georgia",0,13233,41621,6.8,7.6,14.4,10290,3.34,1094,2182,3276,31.83673469,79.1,12.2,79.4,13.5,13.1,0.8,28.2,49,
"Pulaski County, Georgia",0,13235,11295,3.8,4.4,8.2,2607,2.98,227,694,921,35.32796318,80.4,12.4,64.6,35.1,4.1,0.1,48.3,23,
"Putnam County, Georgia",0,13237,21503,4.5,7.5,12,6132,2.9,416,1119,1535,25.03261579,85.4,22.2,69.6,27.3,6.4,1,28,32,
"Quitman County, Georgia",0,13239,2276,5.5,4,9.5,602,3.12,50,227,277,46.01328904,67.6,9.1,41.3,54.2,0.3,6.1,50.4,3,
"Rabun County, Georgia",0,13241,16457,4.3,5.4,9.7,4144,3.08,308,717,1025,24.73455598,84.2,24.8,92.7,2.5,8.1,1,30.9,10,
"Randolph County, Georgia",0,13243,7087,6.3,10.8,17.1,1655,3.42,134,700,834,50.39274924,75.8,11.7,36.7,63.7,1.4,0,66.7,137,
"Richmond County, Georgia",0,13245,201463,6.8,6.7,13.5,43129,3.52,3047,14999,18046,41.84191611,83.4,21.3,39.8,58,4.8,2.5,36.1,363,
"Rockdale County, Georgia",0,13247,89011,5.9,7.1,13,22412,3.39,1812,5936,7748,34.57076566,88.2,26.5,41.6,55.3,10.2,2.4,25.1,160,
"Schley County, Georgia",0,13249,5211,5.2,6.2,11.4,1452,3.26,114,303,417,28.71900826,84.3,12.9,66.9,30.8,5.1,0,30.1,15,
"Screven County, Georgia",0,13251,13990,6.3,6.2,12.5,3458,3.26,218,838,1056,30.53788317,83.1,14.2,56,42.7,2,0.7,38.3,13,
"Seminole County, Georgia",0,13253,8437,5.5,6.8,12.3,2284,3.1,273,584,857,37.52189142,85.5,14.4,64.3,34.1,3.1,0.8,42.1,27,
"Spalding County, Georgia",0,13255,64719,6.1,6.9,13,16513,3.16,1343,4890,6233,37.74601829,81.9,16.4,64.5,34.8,4.4,1.3,32.7,189,
"Stephens County, Georgia",0,13257,25676,5.8,6.4,12.2,6668,3.19,326,1029,1355,20.32093581,83.5,22.1,86.3,13.1,3.3,0.4,21.1,72,
"Stewart County, Georgia",0,13259,6042,3.5,3.3,6.8,1107,2.91,50,432,482,43.54110208,71.6,11.2,28.6,54.6,17.2,2.9,55.7,18,
"Sumter County, Georgia",0,13261,30352,6.2,7.7,13.9,7391,3.06,800,2186,2986,40.40048708,80.7,18.6,43.9,53.5,5.4,1.5,44.2,338,
"Talbot County, Georgia",0,13263,6378,4,4.2,8.2,1804,2.87,165,536,701,38.85809313,80.5,12,41.5,57.8,0.8,0.8,25.7,20,
"Taliaferro County, Georgia",0,13265,1665,3.5,3.2,6.7,409,3.33,44,149,193,47.18826406,71.2,7,34.4,65.4,1.6,0.5,52.3,0,
"Tattnall County, Georgia",0,13267,25353,5.4,5.7,11.1,5830,2.73,427,1388,1815,31.13207547,75.4,13.2,61.6,29.7,11,0.5,34.5,7,
"Taylor County, Georgia",0,13269,8193,4.9,3.9,8.8,2265,2.92,222,540,762,33.64238411,78.2,11.2,57.8,38.9,2.5,1.5,30.4,15,
"Telfair County, Georgia",0,13271,16115,3.9,5.3,9.2,3294,3.15,364,917,1281,38.88888889,70.3,8.4,54.3,41.9,11.7,0.2,48.2,25,
"Terrell County, Georgia",0,13273,8859,6.2,7.7,13.9,2300,3.12,180,829,1009,43.86956522,76.6,12.3,37.6,60.2,2.7,2.3,54.8,149,
"Thomas County, Georgia",0,13275,44730,6.4,6.4,12.8,11735,3.08,1103,3208,4311,36.73625905,82.6,23.1,61.8,37.8,3.7,0.6,29.7,146,
"Tift County, Georgia",0,13277,40510,6.9,6.7,13.6,10322,3.1,646,2645,3291,31.88335594,81.8,16.5,65.5,30.6,11.5,1.8,38.8,95,
"Toombs County, Georgia",0,13279,27048,7.1,7.1,14.2,6716,3.22,360,1704,2064,30.73257892,80.9,15.8,64.5,27.2,11.6,0.9,32.8,25,
"Towns County, Georgia",0,13281,11417,3.4,3,6.4,3142,2.71,145,360,505,16.07256525,89.2,26.2,96.6,2,1.2,0.8,28.1,20,
"Treutlen County, Georgia",0,13283,6777,7.4,5.4,12.8,1772,2.98,150,408,558,31.48984199,74.5,13.6,72.5,27.4,1.8,0,33.3,2,
"Troup County, Georgia",0,13285,69774,6.5,6.3,12.8,16947,3.39,798,4921,5719,33.74638579,82.9,18.5,60.6,37,3.7,2.4,27.1,134,
"Turner County, Georgia",0,13287,7962,6.8,6.1,12.9,2215,2.92,321,495,816,36.83972912,82.4,12.5,55.1,43.2,1.6,0.8,54,56,
"Twiggs County, Georgia",0,13289,8284,5.3,5.8,11.1,1925,3.51,162,508,670,34.80519481,70.8,9.4,57.5,43.1,0.5,0.4,25.4,7,
"Union County, Georgia",0,13291,22775,4.1,4.8,8.9,6425,2.9,277,962,1239,19.28404669,88.9,22.4,97.8,1.1,3.2,0.8,28.4,30,
"Upson County, Georgia",0,13293,26216,6.9,5.3,12.2,6304,3.25,492,1356,1848,29.31472081,79.9,13.7,69.8,28.7,2.3,0.8,31.2,186,
"Walker County, Georgia",0,13295,68824,5.6,6.4,12,18448,3.1,1663,3607,5270,28.56678231,81.9,15.9,94.2,5.2,2.1,0.8,26.7,59,
"Walton County, Georgia",0,13297,90132,6.2,6.8,13,24158,3.26,1858,4087,5945,24.60882523,87.3,19.9,79.5,17.5,4.2,1.7,19.6,97,
"Ware County, Georgia",0,13299,35599,6.8,7.4,14.2,9254,2.91,773,2380,3153,34.07175276,82.9,13.9,65.8,31,4.1,1.2,39.2,104,
"Warren County, Georgia",0,13301,5346,5.3,6.7,12,1440,2.93,114,513,627,43.54166667,73.5,13.4,37.9,61.2,0.4,0.9,39.4,12,
"Washington County, Georgia",0,13303,20461,5.7,6,11.7,5172,3.06,562,1603,2165,41.86001547,80.2,14,45.7,54.2,2.4,0.8,40.9,36,
"Wayne County, Georgia",0,13305,29767,6.9,7,13.9,7110,3.24,480,1354,1834,25.79465541,81.9,12.9,77.1,21.3,6.2,0.9,26.9,12,
"Webster County, Georgia",0,13307,2613,2.3,7.5,9.8,721,2.99,51,139,190,26.35228849,77.5,11.7,51.5,40.5,9.6,0,42.2,8,
"Wheeler County, Georgia",0,13309,7939,4.3,4.4,8.7,1172,4.85,80,179,259,22.09897611,78,12.8,57,42.6,1.3,0,34.6,4,
"White County, Georgia",0,13311,28928,4.3,6.1,10.4,8398,2.88,430,1114,1544,18.38532984,85.1,21.4,96.1,1.7,3.1,0.7,19.9,48,
"Whitfield County, Georgia",0,13313,103849,6.8,7.7,14.5,25806,3.39,2007,4454,6461,25.03681314,69.4,15.7,89.7,4.4,34.5,1.7,26.1,65,
"Wilcox County, Georgia",0,13315,8846,5.3,6.1,11.4,1730,3.26,119,391,510,29.47976879,82.3,11.4,63.5,35.9,4.5,0,29.1,65,
"Wilkes County, Georgia",0,13317,9884,5.6,5.5,11.1,2416,3.29,210,600,810,33.52649007,80.5,12.6,54.2,43,4.8,0.9,44.1,23,
"Wilkinson County, Georgia",0,13319,9078,5.6,6.2,11.8,2156,3.47,131,519,650,30.14842301,84.5,10.6,60,40.3,2.8,0,36.6,30,
"Worth County, Georgia",0,13321,20656,6.2,7.2,13.4,5977,2.95,218,1635,1853,31.002175,81.3,10.4,70,28.9,2.1,0.3,36.8,134,
"Alamance County, North Carolina",1,37001,160576,5.8,6.3,12.1,41309,3.02,2829,9503,12332,29.85305866,85.5,24,72.5,20.7,12.4,1.8,25.3,90,
"Alexander County, North Carolina",1,37003,37119,4.9,5.4,10.3,9746,3.14,877,1540,2417,24.79991792,81.6,14.7,89.2,6.4,4.6,1.2,25.2,4,
"Alleghany County, North Carolina",1,37005,10973,4,4.3,8.3,3262,2.73,215,466,681,20.87676272,76.6,16.7,95,2.8,9.6,0.4,41.3,2,
"Anson County, North Carolina",1,37007,25306,4.7,5.8,10.5,5840,3.17,391,1556,1947,33.3390411,80.5,9.6,48.5,49.5,3.9,1.3,30.7,22,
"Ashe County, North Carolina",1,37009,26786,4.4,4.4,8.8,8077,2.64,512,1233,1745,21.60455615,84.2,19,96.5,1.1,5,0.6,26.3,4,
"Avery County, North Carolina",1,37011,17501,3.7,3.7,7.4,4404,2.62,418,531,949,21.54859219,82.3,20.6,92.5,5,5.1,1,17.4,0,
"Beaufort County, North Carolina",1,37013,47243,4.9,5.5,10.4,12375,3.04,804,2445,3249,26.25454545,87.6,19.4,73.3,26.7,7.6,0.3,26.2,20,
"Bertie County, North Carolina",1,37015,19644,4.3,5.3,9.6,4829,3.02,277,1580,1857,38.4551667,78.7,13.4,36.2,62.2,2.1,0.7,37.2,36,
"Bladen County, North Carolina",1,37017,33778,5.3,5.6,10.9,9127,2.97,638,2768,3406,37.31784814,80.1,15.1,58,35.6,7.5,0.2,36.8,10,
"Brunswick County, North Carolina",1,37019,126860,4.2,4.5,8.7,37172,2.77,1698,4427,6125,16.47745615,90.4,28.6,85.7,11.5,4.8,1,20.5,38,
"Buncombe County, North Carolina",1,37021,254474,5.1,5.2,10.3,61824,2.98,2970,9079,12049,19.48919513,91,39.2,90.8,7.3,6.5,1.7,16.7,51,
"Burke County, North Carolina",1,37023,89712,4.8,5.1,9.9,23299,3.05,1906,4194,6100,26.18138118,80.9,16.6,86.3,7.6,6,4.1,25.7,80,
"Cabarrus County, North Carolina",1,37025,201448,6.4,6.9,13.3,53006,3.24,3644,9124,12768,24.08783911,90,31.2,73.5,19,10.2,3.9,15.5,255,
"Caldwell County, North Carolina",1,37027,81779,5.1,5.8,10.9,22642,2.97,1596,4340,5936,26.2167653,79.7,15.3,90.5,5.7,5.3,0.8,21.9,31,
"Camden County, North Carolina",1,37029,10447,4.7,6.5,11.2,3135,3,198,551,749,23.89154705,85.6,17.9,83.7,14.2,2.8,2.7,19.9,1,
"Carteret County, North Carolina",1,37031,68920,4.3,5.1,9.4,18982,2.8,1051,3181,4232,22.29480561,91.1,28.4,92.3,6.8,4.3,1.7,15.8,25,
