county,NC,countyfips,pop,pct_under5,pct_5to9,pct_under9,num_famlies,avg_fam_size,num_single_dad,num_single_mom,num_single_parent,pct_single_parent,pct_hs_plus,pct_domestic,pct_white,pct_black,pct_latin,pct_asian,kids_in_poverty,active_cases,pct_active
"Lenoir County, North Carolina",1,37107,57227,5.7,6.5,12.2,15189,2.98,1171,4167,5338,35.1438541,80.4,14.5,57.1,42.3,7.6,1,37.7,42,
"Lincoln County, North Carolina",1,37109,81441,5.1,6.3,11.4,23517,2.9,1583,3881,5464,23.23425607,85.6,21.4,91.2,6.2,7.1,0.9,21.5,25,
"McDowell County, North Carolina",1,37111,45109,4.4,6.7,11.1,12824,2.87,1306,2034,3340,26.04491578,83.8,16.9,92.4,4.3,6,1,23,23,
"Macon County, North Carolina",1,37113,34410,4.9,4.7,9.6,9934,2.7,562,1380,1942,19.54902356,88.6,24.2,94.6,1.8,6.9,1,29.8,1,
"Madison County, North Carolina",1,37115,21405,4.5,4.7,9.2,5600,2.88,269,807,1076,19.21428571,85.4,27.6,96.4,1.9,2.4,0.6,24,1,
"Martin County, North Carolina",1,37117,23054,5.3,5.5,10.8,6366,2.93,618,1508,2126,33.39616714,83.3,16.8,55.4,42.9,3.9,0.7,24.4,15,
"Mecklenburg County, North Carolina",1,37119,1054314,6.8,6.9,13.7,249120,3.27,17635,54703,72338,29.03741169,90.1,44.8,56.9,33.1,13,6.5,18.1,1449,
"Mitchell County, North Carolina",1,37121,15040,4.4,5,9.4,4070,2.89,170,536,706,17.34643735,84.5,18.8,97.8,1.2,5.3,1,18.2,5,
"Montgomery County, North Carolina",1,37123,27338,5.5,5.4,10.9,7179,3.11,369,1395,1764,24.57166736,79.3,14.7,77.6,19.5,15.3,2.1,29,31,
"Moore County, North Carolina",1,37125,95629,5.6,6.4,12,25002,3.05,1307,3636,4943,19.77041837,90.4,36.9,84.1,13.3,6.5,1.8,19.7,110,
"Nash County, North Carolina",1,37127,94003,5.6,6.2,11.8,24306,3.11,1801,5697,7498,30.8483502,85.4,20.9,54.6,41.3,6.8,1.1,22.3,83,
"New Hanover County, North Carolina",1,37129,224231,5,5.3,10.3,53140,2.96,3228,10241,13469,25.34625518,92.9,39.3,83,15,5.4,2,21.9,76,
"Northampton County, North Carolina",1,37131,20186,4.6,4.9,9.5,5718,2.72,627,1692,2319,40.55613851,79.5,12.8,42,58.2,2.1,0.3,35.8,78,
"Onslow County, North Carolina",1,37133,193912,9,6.7,15.7,45354,3.21,2693,8311,11004,24.26246858,91.2,21.4,80,17.9,12.4,3.5,19,42,
"Orange County, North Carolina",1,37135,142938,4.6,5.7,10.3,31886,3.06,1909,4778,6687,20.97158628,92.7,57.6,77,13,8.4,9,9.2,195,
"Pamlico County, North Carolina",1,37137,12742,3.6,4.3,7.9,3490,2.78,92,510,602,17.24928367,88,19.4,79.1,20.5,3.7,1.3,23.9,7,
"Pasquotank County, North Carolina",1,37139,39479,6.3,6.6,12.9,9942,3.1,642,2099,2741,27.56990545,86.5,20.5,60.9,38.4,5.1,2.1,22.7,33,
"Pender County, North Carolina",1,37141,59020,5.7,6.2,11.9,14305,3.35,956,1756,2712,18.95840615,87.5,26.4,79.1,16.4,6.9,0.8,19.6,11,
"Perquimans County, North Carolina",1,37143,13459,4.5,5.2,9.7,4027,2.72,134,613,747,18.54978892,86.5,20.4,74.3,24.7,2.6,0.3,22.4,11,
"Person County, North Carolina",1,37145,39305,5.2,5.8,11,10764,2.97,729,2511,3240,30.10033445,86.3,15.3,70.3,28,4.2,0.7,33.8,19,
"Pitt County, North Carolina",1,37147,177372,5.9,5.9,11.8,41214,3.05,2714,11149,13863,33.63662833,89.4,31.8,59.6,36.2,6.1,2.5,27.8,109,
"Polk County, North Carolina",1,37149,20458,3.3,4.6,7.9,5547,2.82,187,699,886,15.9725978,90.9,31.7,91.4,5.3,5.8,0.6,13.3,17,
"Randolph County, North Carolina",1,37151,142958,5.7,6.1,11.8,38397,3.04,2807,6747,9554,24.88215225,81.4,15.8,86.2,7.2,11.2,1.4,24.1,151,
"Richmond County, North Carolina",1,37153,45189,6.1,5.8,11.9,12166,2.91,1119,3627,4746,39.01035673,80.3,13.9,63.9,32.5,6.4,1.2,37.3,34,
"Robeson County, North Carolina",1,37155,133442,6.8,7.5,14.3,31052,3.5,2840,9580,12420,39.99742368,77.1,13.2,30.2,24.8,8.7,0.8,40.3,101,
"Rockingham County, North Carolina",1,37157,91270,5.2,5.7,10.9,24607,2.99,1655,5327,6982,28.37403991,82.6,15,77.4,19.8,6,0.8,27,22,
"Rowan County, North Carolina",1,37159,139605,5.6,6.1,11.7,35664,3.13,2715,6909,9624,26.98519515,85.3,18.7,79,17.2,8.6,1.3,26.8,331,
"Rutherford County, North Carolina",1,37161,66532,5.1,5.6,10.7,16964,3.11,1335,3459,4794,28.25984438,82.6,17.3,88,10.9,4.2,0.8,23.5,115,
"Sampson County, North Carolina",1,37163,63561,6.4,6.9,13.3,15643,3.31,1329,3599,4928,31.50290865,77.7,12.8,66.8,27.2,19.3,0.7,36.5,39,
"Scotland County, North Carolina",1,37165,35262,6.2,6.9,13.1,8824,3.07,582,2933,3515,39.83454216,79.8,15.5,46.2,40.1,2.9,1.2,41,23,
"Stanly County, North Carolina",1,37167,61114,5.6,5.9,11.5,16820,2.96,1157,2845,4002,23.79310345,85.1,15.8,85.6,12.2,4.1,2.2,21.5,25,
"Stokes County, North Carolina",1,37169,45905,4.5,5.2,9.7,13353,2.83,1106,2294,3400,25.4624429,83.5,13.3,94.2,4.9,2.9,0.5,21.2,11,
"Surry County, North Carolina",1,37171,72099,5.1,6.4,11.5,19696,3.02,1180,2991,4171,21.17688871,78.3,16.8,92.5,4.3,10.3,0.8,24,12,
"Swain County, North Carolina",1,37173,14254,6.3,6.6,12.9,3572,3.25,279,693,972,27.21164614,78.3,16,68.7,1.2,5.1,0.4,25.3,,
"Transylvania County, North Carolina",1,37175,33513,4.2,4.2,8.4,9858,2.69,388,1387,1775,18.00568067,88.6,31.5,92.5,5.2,3.3,0.8,29.1,7,
"Tyrrell County, North Carolina",1,37177,4119,2.8,5,7.8,1038,2.55,46,171,217,20.90558767,75.5,9.7,56.6,39.3,6.4,0,44.7,4,
"Union County, North Carolina",1,37179,226694,5.9,7.4,13.3,59919,3.35,3490,7609,11099,18.52333984,89.8,34.8,83.6,12.7,11,3.4,12.1,196,
"Vance County, North Carolina",1,37181,44482,6.2,5.8,12,10969,3.2,915,3548,4463,40.68739174,80,12.9,45.4,51.4,7.6,0.8,35.8,77,
"Wake County, North Carolina",1,37183,1046558,6.3,6.9,13.2,261233,3.18,14925,43834,58759,22.49294691,92.7,51.8,68.3,21.9,10.1,7.7,12.8,738,
"Warren County, North Carolina",1,37185,20033,4.3,5.3,9.6,4616,3.27,267,1107,1374,29.7660312,80.5,15.5,41.4,52.2,3.8,0.8,25.1,4,
"Washington County, North Carolina",1,37187,12156,5.2,5.3,10.5,2878,3.19,90,959,1049,36.44892286,79.9,11.3,50,49.1,5.3,0.5,48.7,22,
"Watauga County, North Carolina",1,37189,54117,3.3,4,7.3,11053,2.8,616,1330,1946,17.6060798,89.5,41.6,95.2,2.1,3.5,1.5,19.6,8,
"Wayne County, North Carolina",1,37191,124002,6.7,6.4,13.1,32399,3.05,2130,8730,10860,33.51955307,84.1,19.5,65,32.6,11.5,2.2,35.4,625,
"Wilkes County, North Carolina",1,37193,68460,5,5.5,10.5,18849,2.92,1407,2764,4171,22.12849488,78.6,15.5,92.7,5,6.3,0.7,31.5,20,
"Wilson County, North Carolina",1,37195,81336,5.9,6.8,12.7,20730,3.11,1435,6106,7541,36.37723107,80.3,19.6,53.2,41.1,10.2,1.2,35.3,145,
"Yadkin County, North Carolina",1,37197,37665,5.3,6,11.3,10776,2.92,741,1761,2502,23.21826281,81,11.3,93,4.3,10.9,0.1,25.2,11,
"Yancey County, North Carolina",1,37199,17667,4.7,4.7,9.4,5036,2.8,274,597,871,17.2954726,84.2,20,97.2,1.6,5.1,0.4,25,0,
