county,lockdown,countyfips,pop,pct_under5,pct_5to9,pct_under9,num_famlies,avg_fam_size,num_single_dad,num_single_mom,num_single_parent,pct_single_parent,pct_hs_plus,pct_college_plus,pct_foreign,pct_white,pct_black,pct_latin,pct_asian,kids_in_poverty,active_cases,pct_active,median_fam_income,mean_fam_income
"Hood River County, Oregon",1,41027,23131,6.4,5.8,12.2,2325,3.19,113,328,441,18.96774194,81.1,31.6,16.1,90.4,1,31.5,2.6,12.1,5,0.00021616,73457,96729
"Jackson County, Oregon",1,41029,214267,5.5,5.9,11.4,21940,2.92,2452,5652,8104,36.93710119,89.6,27.4,6.1,94.9,1.4,12.5,2.4,22.4,49,0.000228687,62467,81513
"Jefferson County, Oregon",1,41031,23143,6.3,7.1,13.4,1649,3.31,228,471,699,42.38932686,86,18.4,6.4,74.6,1.3,20,1,26.3,6,0.000259258,61825,71677
"Josephine County, Oregon",1,41033,85481,5,5.4,10.4,7274,2.82,723,1757,2480,34.09403354,90.2,17.2,4.1,95.4,0.9,7.3,1.6,26.8,19,0.000222272,51785,69146
"Klamath County, Oregon",1,41035,66310,6.2,6.4,12.6,6716,2.9,585,1623,2208,32.87671233,87.4,19.4,5.4,92.2,1.5,12.7,2,28.2,36,0.000542905,51986,67683
"Lake County, Oregon",1,41037,7843,5.2,6,11.2,747,2.63,62,224,286,38.28647925,86.9,15.4,3.1,94.8,0.5,8,2.1,18.8,0,0,48750,62174
"Lane County, Oregon",1,41039,368882,5,5.2,10.2,34003,2.91,3732,8539,12271,36.08799224,91.4,29.6,6,91.9,2.1,8.7,4.4,20.8,48,0.000130123,64870,82041
"Lincoln County, Oregon",1,41041,47881,4.8,4.9,9.7,3230,2.78,414,863,1277,39.53560372,90.6,24.1,5,92.5,1.2,9.1,1.9,26.2,5,0.000104426,54930,69211
"Linn County, Oregon",1,41043,122870,6,6.5,12.5,12552,3.08,1287,2974,4261,33.94678139,89.9,19.5,4.6,94.4,1.2,8.9,1.8,18.4,72,0.000585985,63174,76271
"Malheur County, Oregon",1,41045,30431,6.9,7.5,14.4,2952,3.23,411,768,1179,39.93902439,80.9,13.8,9.9,91.9,1.6,33.4,2.2,34.7,7,0.000230029,51823,63011
