county,lockdown,countyfips,pop,pct_under5,pct_5to9,pct_under9,num_famlies,avg_fam_size,num_single_dad,num_single_mom,num_single_parent,pct_single_parent,pct_hs_plus,pct_college_plus,pct_foreign,pct_white,pct_black,pct_latin,pct_asian,kids_in_poverty,active_cases,pct_active,median_fam_income,mean_fam_income,,,,,
"Gibson County, Indiana",0,18051,33596,6.10489344,6.768662936,12.87355638,9277,2.96,606,1462,2068,22.29168912,39.7,12.2,1.4,97.1,3.1,1.6,0.6,13.3,7,0.020835814,67604,79542,,,0.018171489,0.020147229,
"Grant County, Indiana",0,18053,66944,5.423936424,6.069251912,11.49318834,17301,2.84,1321,3711,5032,29.08502399,40.6,10.2,1.5,90.7,9,4.2,1.2,30.8,128,0.191204589,52502,63083,,,0.008102199,0.009066163,
"Greene County, Indiana",0,18055,32295,5.30422666,6.369407029,11.67363369,8495,3.05,664,1029,1693,19.92937022,41.7,9.2,0.8,98.9,0.7,1.4,0.6,17.4,84,0.260102183,60472,68819,,,0.016424297,0.019722579,
"Hamilton County, Indiana",0,18057,316095,6.784985527,7.586326895,14.37131242,86746,3.15,4466,10053,14519,16.73737118,15.3,36.6,7.8,89.4,4.9,3.9,6.9,5.5,727,0.229994147,110749,143683,,,0.002146502,0.002400015,
"Hancock County, Indiana",0,18059,73830,5.639983746,6.537992686,12.17797643,20149,3.06,1210,2329,3539,17.5641471,32.8,21.1,2.2,96.5,3,2.3,1.2,9.6,218,0.295272924,84656,95322,,,0.007639149,0.008855469,
"Harrison County, Indiana",0,18061,39712,5.713638195,6.073730862,11.78736906,10274,3.2,736,1213,1949,18.97021608,40.1,10.9,1.2,97.5,1.1,1.8,0.7,10.3,121,0.304693795,70780,82049,,,0.014387687,0.015294447,
"Hendricks County, Indiana",0,18063,160940,6.01466385,7.294643967,13.30930782,42939,3.2,2715,5680,8395,19.55099094,27.2,24,4.9,89.2,7.6,3.7,3.3,6.1,661,0.410712067,90770,105278,,,0.003737209,0.004532524,
"Henry County, Indiana",0,18065,48483,4.92956294,5.731906029,10.66146897,12343,2.94,959,2100,3059,24.78327797,43.9,11.3,0.8,96.1,3.3,1.7,0.7,22.9,39,0.080440567,59517,70356,,,0.010167611,0.011822507,
"Howard County, Indiana",0,18067,82387,6.085911612,5.962105672,12.04801728,22575,2.91,1460,4605,6065,26.86600221,36.5,13.8,2.3,89.8,9.1,3.3,1.5,24,169,0.20512945,63918,76082,,,0.00738698,0.007236707,
"Huntington County, Indiana",0,18069,36378,5.665512123,5.764473033,11.42998516,10159,2.82,721,1301,2022,19.90353381,42,12.3,1.5,96.7,1.1,2.3,0.8,13.2,7,0.019242399,62967,72901,,,0.015574007,0.015846042,
"Jackson County, Indiana",0,18071,43938,6.659383677,6.748145114,13.40752879,11820,3.02,1035,1915,2950,24.95769882,43.5,9.7,4.6,92.7,1.4,6.6,2.2,21,156,0.355045746,59912,71531,,,0.01515632,0.015358335,
