county,lockdown,countyfips,pop,pct_under5,pct_5to9,pct_under9,num_famlies,avg_fam_size,num_single_dad,num_single_mom,num_single_parent,pct_single_parent,pct_hs_plus,pct_college_plus,pct_foreign,pct_white,pct_black,pct_latin,pct_asian,kids_in_poverty,active_cases,pct_active,median_fam_income,mean_fam_income,,,,,
"Clinton County, Michigan",1,26037,77896,5.55740988,6.25449317,11.81190305,20448,3.1,949,2588,3537,17.29753521,27,20.1,3.2,96.2,2.7,4.5,2,9.9,109,0.139930163,82376,100416,,,0.007134397,0.008029287,
"Crawford County, Michigan",1,26039,13836,4.379878578,5.478461983,9.858340561,4074,2.66,315,485,800,19.63672067,33.8,12,1.9,97.4,1.1,1.9,0.9,20.7,49,0.354148598,56991,64937,,,0.031655671,0.039595707,
"Delta County, Michigan",1,26041,36190,5.040066317,5.382702404,10.42276872,10137,2.76,769,1598,2367,23.35010358,33.3,14.7,1.2,97.1,0.9,1.3,0.9,16.9,11,0.030395137,57987,71764,,,0.013926682,0.014873452,
"Dickinson County, Michigan",1,26043,25570,4.923738756,5.698083692,10.62182245,7138,2.79,461,1069,1530,21.43457551,33.8,17.6,1.2,97,0.9,1.5,1.1,15.6,1,0.003910833,61597,77441,,,0.01925592,0.022284254,
"Eaton County, Michigan",1,26045,109155,5.483028721,5.822912372,11.30594109,29049,2.96,1720,4753,6473,22.283039,28,17.3,3.7,88.9,8.2,5.3,2.7,16.8,127,0.116348312,75331,90875,,,0.005023159,0.005334536,
"Emmet County, Michigan",1,26047,33039,4.827627955,4.900269379,9.727897333,9267,2.76,692,1223,1915,20.66472429,24.5,21.1,1.8,95.2,1.4,1.6,1.1,10.8,19,0.057507794,69572,89467,,,0.014611907,0.014831773,
"Genesee County, Michigan",1,26049,409361,5.957333503,6.108544781,12.06587828,107362,2.99,8680,26560,35240,32.8235316,31.9,13.3,2.6,77.8,22,3.4,1.5,30.2,1408,0.343950694,58552,76126,,,0.001455276,0.001492215,
"Gladwin County, Michigan",1,26051,25289,4.99822057,5.211752145,10.20997272,7013,2.83,459,871,1330,18.96477969,39.6,8.2,0.9,98.3,0.8,1.6,0.5,28.4,15,0.059314326,52869,66189,,,0.019764406,0.020608771,
"Gogebic County, Michigan",1,26053,15414,3.659011288,4.729466719,8.388478007,3714,2.77,169,605,774,20.84006462,37.6,13.8,1.4,91.9,4.8,1.3,0.5,28.7,3,0.019462826,54949,70659,,,0.023738233,0.030682929,
"Grand Traverse County, Michigan",1,26055,91746,5.328842674,5.705970833,11.03481351,23873,2.93,1590,3093,4683,19.61630294,24.4,21.8,2.6,96.7,1.7,2.8,1.1,13.2,14,0.015259521,76199,97612,,,0.005808256,0.006219313,
"Gratiot County, Michigan",1,26057,41067,4.933401515,5.583558575,10.51696009,9940,2.82,809,1828,2637,26.52917505,40.4,8.6,1,92.8,6.4,6,0.7,21.9,20,0.048700903,55954,70335,,,0.012013056,0.013596217,
"Hillsdale County, Michigan",1,26059,45830,5.895701506,5.526947414,11.42264892,11965,2.99,819,1598,2417,20.20058504,38.5,10.8,1.1,98.1,1.2,2.3,0.6,22.3,110,0.240017456,59247,72912,,,0.012864284,0.012059671,
"Houghton County, Michigan",1,26061,36360,5.187018702,5.673817382,10.86083608,7586,3.22,470,873,1343,17.70366465,33.7,18.8,4.7,95.2,1.4,1.6,3.6,16.4,2,0.00550055,61759,76479,,,0.014265728,0.015604558,
"Huron County, Michigan",1,26063,31543,4.980502806,5.620898456,10.60140126,8770,2.8,503,1151,1654,18.85974914,42.2,10.4,1.5,98.4,0.8,2.3,0.7,21.2,19,0.060235234,58912,72781,,,0.015789566,0.017819797,
"Ingham County, Michigan",1,26065,289564,5.645038748,5.365307842,11.01034659,61068,3.1,4894,12360,17254,28.25374992,21.7,20.9,9.5,79.3,14.6,7.7,7.7,23.4,471,0.162658342,69661,89876,,,0.001949496,0.001852892,
"Ionia County, Michigan",1,26067,64176,5.731114435,6.588132635,12.31924707,15891,3.12,1552,2117,3669,23.08854068,39.6,11.5,1.5,93.9,5.4,4.7,0.8,16,78,0.121540763,63537,74014,,,0.008930308,0.010265726,
"Iosco County, Michigan",1,26069,25247,4.297540302,4.844139898,9.1416802,7003,2.66,573,1005,1578,22.53320006,37.8,10.2,2.3,97.5,1.1,2.1,1,25.8,44,0.174278132,50398,62945,,,0.017021984,0.019186992,
"Iron County, Michigan",1,26071,11212,3.737067428,5.003567606,8.740635034,2942,2.66,181,458,639,21.71991842,43.8,11.9,1.5,97.1,0.9,2,0.7,21.7,53,0.472707813,55441,64575,,,0.033330962,0.044626896,
"Isabella County, Michigan",1,26073,70775,4.717767573,4.696573649,9.414341222,14027,3.01,1132,2766,3898,27.78926356,31.5,16.2,3.5,91.3,3.8,3.9,2.6,19.5,359,0.507241258,62143,79005,,,0.006665867,0.006635922,
"Jackson County, Michigan",1,26075,158913,5.651520014,5.90826427,11.55978428,40284,2.98,3535,7482,11017,27.34832688,33,14.7,1.8,89.9,9.8,3.5,1.2,22.6,387,0.243529478,62715,78489,,,0.003556361,0.003717924,
"Kalamazoo County, Michigan",1,26077,261573,6.057964698,5.872548008,11.93051271,60903,3.06,4343,11052,15395,25.27790092,22,22.7,5,85.3,13.8,4.8,3.4,18,15,0.005734537,74225,95411,,,0.002315975,0.00224509,
"Kalkaska County, Michigan",1,26079,17463,5.039225792,5.789383267,10.82860906,4911,2.86,473,681,1154,23.49826919,41.4,7.6,1.6,97.4,1.2,1.9,0.9,22.2,1564,8.956078566,53075,65108,,,0.028856587,0.033152283,
"Kent County, Michigan",1,26081,643140,6.8524738,6.842367136,13.69484094,158849,3.18,11546,28169,39715,25.0017312,24.4,23.2,8.3,83.3,12,10.4,3.7,16.6,2,0.000310974,73514,95700,,,0.001065472,0.0010639,
"Keweenaw County, Michigan",1,26083,2130,4.131455399,5.58685446,9.718309859,730,2.29,68,101,169,23.15068493,32.8,17.9,1.2,98.4,2,0.6,0.1,20.3,146,6.854460094,65125,76519,,,0.193965042,0.262293637,
"Lake County, Michigan",1,26085,11763,4.182606478,4.769191533,8.951798011,2697,3.25,169,310,479,17.7604746,42.6,7.2,1.5,90.5,10.5,2.6,0.3,38.3,9,0.076511094,45250,54587,,,0.035557311,0.040544007,
"Lapeer County, Michigan",1,26087,88202,4.925058389,5.625722773,10.55078116,24032,3.04,1809,3014,4823,20.06907457,35.7,12,2.5,97.3,1.6,4.6,0.9,13.2,96,0.108841069,70038,83020,,,0.00558384,0.006378226,
"Leelanau County, Michigan",1,26089,21639,4.089837793,4.764545497,8.854383289,6387,2.75,277,595,872,13.65273211,21.8,25.2,2.9,95,1.4,4.3,0.9,8.3,324,1.497296548,75506,104576,,,0.018900309,0.022018326,
"Lenawee County, Michigan",1,26091,98474,5.364867884,5.707090196,11.07195808,25225,2.98,1947,4261,6208,24.61050545,37.1,13.8,2.1,95.3,3.8,7.9,0.8,17.2,1,0.001015496,65928,79798,,,0.005448004,0.00579553,
"Livingston County, Michigan",1,26093,188482,5.079530141,5.841406606,10.92093675,52070,3.08,3154,5159,8313,15.96504705,25.9,22.9,2.8,97.8,0.9,2.4,1.4,7.1,6,0.003183328,96019,112540,,,0.002694968,0.003099185,
"Luce County, Michigan",1,26095,6364,4.022627278,4.541169076,8.563796354,1414,3.02,77,186,263,18.59971711,38.5,11.6,1.7,85.5,8.5,3.1,0.7,28.7,5009,78.70835952,54636,63749,,,0.063209102,0.071357151,
"Mackinac County, Michigan",1,26097,10817,3.642414718,4.511417214,8.153831931,3185,2.46,249,475,724,22.73155416,34.3,12.7,2.7,79.2,3.4,1.7,1,20.8,11,0.101691781,56578,70508,,,0.033673058,0.041706732,
"Macomb County, Michigan",1,26099,868704,5.488290603,5.937925922,11.42621652,226394,3.11,16061,45396,61457,27.14603744,29.7,16,10.9,83.6,12.5,2.6,4.5,16.6,42,0.004834788,74545,90143,,,0.000631779,0.000683538,
"Manistee County, Michigan",1,26101,24444,3.964162985,4.213712977,8.177875961,5953,3.06,389,709,1098,18.44448177,36.1,12.7,1.8,94.7,4.1,3,0.7,19,10,0.040909835,59219,73780,,,0.016217325,0.01723823,
"Marquette County, Michigan",1,26103,66939,4.904465259,5.139007156,10.04347242,15595,2.95,1004,2247,3251,20.84642514,31.5,21.6,2,96.2,2.3,1.5,1.1,16.7,13,0.019420667,65807,79207,,,0.007326768,0.00767715,
"Mason County, Michigan",1,26105,28884,5.24165628,5.373217006,10.61487329,7860,2.86,538,1133,1671,21.25954198,33.5,14.2,2,96.9,1.5,4.5,1,25,5,0.017310622,61905,75924,,,0.018147266,0.018602745,
"Mecosta County, Michigan",1,26107,43264,4.754530325,5.242233728,9.996764053,9718,3.06,681,1425,2106,21.67112575,36.2,13,1.7,95.6,3.8,2.2,1.3,25.4,1518,3.508690828,58702,71778,,,0.010989576,0.012116849,
"Menominee County, Michigan",1,26109,23234,4.420246191,5.040027546,9.460273737,6295,2.76,587,735,1322,21.00079428,42.8,11.4,1,96.8,1,1.7,0.6,19.5,54,0.232418008,58173,70393,,,0.019024904,0.021692466,
"Midland County, Michigan",1,26111,83389,5.440765569,6.184268908,11.62503448,23191,2.89,1450,2923,4373,18.85645293,29,20.3,3.9,95.2,1.9,2.7,2.7,12.7,15,0.017987984,73253,99378,,,0.00652456,0.007416169,
"Missaukee County, Michigan",1,26113,15006,6.490737039,5.764360922,12.25509796,4153,2.92,292,520,812,19.55213099,42,9.2,1.6,98.2,1,2.8,0.8,22.6,284,1.892576303,52712,63936,,,0.043254279,0.038413707,
"Monroe County, Michigan",1,26115,149699,5.317336789,5.724153134,11.04148992,40823,3.02,3458,5803,9261,22.68574088,36.1,12.5,2.2,96.2,3.3,3.5,0.9,14.3,39,0.026052278,75891,88516,,,0.003552019,0.003823775,
"Montcalm County, Michigan",1,26117,63209,5.682735054,6.459523169,12.14225822,16281,3.04,1398,2617,4015,24.66064738,39.9,8.9,1.4,96.2,2.9,3.5,0.6,23.8,5,0.007910266,54860,66884,,,0.008990389,0.010219309,
"Montmorency County, Michigan",1,26119,9261,3.595724004,3.584926034,7.180650038,2626,2.65,225,285,510,19.42117289,43.1,8.1,1.1,98.4,0.9,1.3,0.1,34.7,271,2.926249865,49770,58295,,,0.03882652,0.038709924,
"Muskegon County, Michigan",1,26121,173043,6.146449148,6.444640927,12.59109008,44389,3.03,3494,9754,13248,29.84523193,34.5,13.1,1.8,84.3,15.9,5.6,1,24.5,24,0.013869385,58643,72431,,,0.003551978,0.0037243,
"Newaygo County, Michigan",1,26123,48142,5.764197582,6.553529143,12.31772673,13037,2.99,994,1623,2617,20.07363657,40.3,10.4,2.1,94.4,1.9,5.8,0.7,25.2,6718,13.95455112,55092,68753,,,0.011973324,0.013612914,
"Oakland County, Michigan",1,26125,1250843,5.459358209,5.757317265,11.21667547,322362,3.11,18752,49340,68092,21.12283706,18.8,26.3,12.7,77.6,15.1,4,8.2,10.5,10,0.000799461,99005,127615,,,0.000436454,0.000460275,
"Oceana County, Michigan",1,26127,26417,5.77279782,6.257334292,12.03013211,7380,2.94,645,1006,1651,22.37127371,35.4,12.3,5.7,96.1,1.3,14.8,0.4,23.1,14,0.052996177,53231,66689,,,0.021852587,0.023686771,
"Ogemaw County, Michigan",1,26129,20928,4.434250765,4.802178899,9.236429664,6040,2.67,375,1001,1376,22.78145695,39,7.6,1.3,97.7,0.6,2.1,0.8,23.9,0,0,48203,58850,,,0.021188125,0.022946191,
"Ontonagon County, Michigan",1,26131,5968,2.396112601,3.016085791,5.412198391,1711,2.62,86,163,249,14.55289305,40.7,12.1,1.5,98,0.6,1.5,0.4,23.5,8,0.134048257,51250,58843,,,0.04014934,0.050537631,
"Osceola County, Michigan",1,26133,23232,5.483815427,6.228477961,11.71229339,6079,3.05,466,950,1416,23.29330482,44.3,9.1,0.9,97.5,1.6,1.8,0.6,31.1,5,0.021522039,51264,63702,,,0.023604577,0.026809909,
"Oscoda County, Michigan",1,26135,8277,5.013893923,5.738794249,10.75268817,2332,2.67,235,277,512,21.95540309,37.6,7,1.2,98.4,0.7,1.5,0.2,23.5,84,1.014860457,48475,60743,,,0.060576222,0.06933423,
"Otsego County, Michigan",1,26137,24397,5.357216051,6.365536746,11.7227528,6762,2.87,416,937,1353,20.00887311,33.9,16,1.7,98.3,1.6,1.7,1,22.9,243,0.996024101,61707,73950,,,0.021958503,0.026091473,
"Ottawa County, Michigan",1,26139,284034,6.341846399,6.722786709,13.06463311,73552,3.13,3996,8141,12137,16.50125082,28.6,22.4,5.7,91.8,2.5,9.7,3.5,8.3,8,0.002816564,79560,97449,,,0.002232777,0.002366895,
"Presque Isle County, Michigan",1,26141,12797,3.821208096,3.743064781,7.564272876,3869,2.63,246,368,614,15.86973378,39.4,10.5,1.3,98.3,0.9,1.3,0.7,22,11,0.085957646,56530,69105,,,0.029860187,0.029249549,
"Roscommon County, Michigan",1,26143,23877,3.564099342,4.125308875,7.689408217,6674,2.69,502,947,1449,21.71111777,40.7,8.7,1.7,98.4,1,1.8,0.4,29.9,16,0.067010093,48479,59465,,,0.014926914,0.017277333,
"Saginaw County, Michigan",1,26145,192778,5.706045296,5.881895237,11.58794053,49725,2.95,4099,11351,15450,31.07088989,33.6,13.7,2.5,77.7,20.7,8.4,1.6,23.9,621,0.322132194,59356,77292,,,0.002959905,0.003051124,
"St. Clair County, Michigan",1,26147,159566,5.075015981,5.511825828,10.58684181,42924,2.96,3025,6832,9857,22.96384307,34.4,11.6,2.7,96.3,3.7,3.3,0.9,20.2,31,0.019427698,69989,83415,,,0.003180512,0.003454261,
"St. Joseph County, Michigan",1,26149,60897,6.619373697,6.548762665,13.16813636,16490,2.98,1323,2672,3995,24.22680412,38.2,9.9,3.4,94.2,3.9,7.7,1,25,3,0.004926351,58475,72928,,,0.010869786,0.010753835,
"Sanilac County, Michigan",1,26151,41376,5.188998453,6.2983372,11.48733565,11416,2.88,695,1698,2393,20.96180799,41.5,9,1.9,98,0.9,3.7,0.6,22.1,171,0.413283063,54496,67928,,,0.012541083,0.015222199,
"Schoolcraft County, Michigan",1,26153,8069,4.040153675,4.982029991,9.022183666,2170,2.89,162,270,432,19.9078341,44.3,11,0.8,92,1,1,0.5,30.3,310,3.841863924,55366,64665,,,0.050070067,0.061742843,
"Shiawassee County, Michigan",1,26155,68493,5.251631554,5.939293066,11.19092462,19139,2.89,1517,2759,4276,22.34181514,36.3,11.3,0.9,98.5,1.2,2.9,0.7,16.2,32,0.046720103,65227,77468,,,0.007667399,0.008671387,
"Tuscola County, Michigan",1,26157,53250,5.062910798,5.791549296,10.85446009,14914,2.86,1173,1883,3056,20.490814,41.7,9.1,0.8,97.9,1.6,3.3,0.5,22.7,92,0.172769953,57714,70336,,,0.009507814,0.010876149,
"Van Buren County, Michigan",1,26159,75272,6.058029546,6.309118929,12.36714847,19927,3.05,1415,3146,4561,22.88854318,31.9,13.9,4.8,90.1,5.3,11.4,0.9,23.2,52,0.069082793,62860,79547,,,0.008048185,0.008381761,
"Washtenaw County, Michigan",1,26161,365961,4.99588754,5.041247565,10.0371351,80883,3.08,4464,12214,16678,20.61990777,14.9,26.2,12.4,77.5,14.1,4.6,10.6,12.2,1025,0.28008449,98184,125424,,,0.001365142,0.001377537,
"Wayne County, Michigan",1,26163,1761382,6.551446535,6.467932567,13.0193791,414597,3.34,39236,127313,166549,40.17129888,30,14.1,8.9,55.2,40.1,5.9,3.9,34.6,15168,0.86114199,58061,78522,,,0.000371949,0.000367208,
"Wexford County, Michigan",1,26165,33111,6.016127571,6.828546405,12.84467398,8774,3.01,713,1464,2177,24.81194438,36.8,12.5,1.4,98,1.3,1.9,0.9,24,7,0.021141011,51543,64421,,,0.018169574,0.020623196,
